11/13/2018
7:36:28 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
1.250000	0.940213	1.796817	0.360941	0.492460	0.940213	1.796817	0.360941	0.492460
1.260000	0.950359	1.776532	0.477587	0.355605	0.950359	1.776532	0.477587	0.355605
1.270000	0.965578	1.776532	0.492802	0.249162	0.965578	1.776532	0.492802	0.249162
1.280000	0.965578	1.776532	0.442086	0.208612	0.965578	1.776532	0.442086	0.208612
1.290000	0.955432	1.776532	0.350798	0.259299	0.955432	1.776532	0.350798	0.259299
1.300000	0.955432	1.776532	0.355870	0.244093	0.955432	1.776532	0.355870	0.244093
1.310000	0.955432	1.776532	0.244295	0.279574	0.955432	1.776532	0.244295	0.279574
1.320000	0.955432	1.781603	0.132721	0.309986	0.955432	1.781603	0.132721	0.309986
1.330000	0.950359	1.801889	0.518160	0.563423	0.950359	1.801889	0.518160	0.563423
1.340000	0.950359	1.791746	0.442086	0.629316	0.950359	1.791746	0.442086	0.629316
1.350000	0.960505	1.801889	0.295011	0.735759	0.960505	1.801889	0.295011	0.735759
1.360000	0.970651	1.796817	0.300083	0.690141	0.970651	1.796817	0.300083	0.690141
1.370000	0.975724	1.781603	0.310226	0.512735	0.975724	1.781603	0.310226	0.512735
1.380000	0.970651	1.796817	0.224009	0.472186	0.970651	1.796817	0.224009	0.472186
1.390000	0.970651	1.786674	0.401514	0.497529	0.970651	1.786674	0.401514	0.497529
1.400000	0.950359	1.781603	0.335583	0.345467	0.950359	1.781603	0.335583	0.345467
1.410000	0.965578	1.801889	0.650020	0.573560	0.965578	1.801889	0.650020	0.573560
1.420000	0.950359	1.781603	0.589162	0.487392	0.950359	1.781603	0.589162	0.487392
1.430000	0.950359	1.791746	0.604376	0.462048	0.950359	1.791746	0.604376	0.462048
1.440000	0.980797	1.796817	0.619591	0.517804	0.980797	1.796817	0.619591	0.517804
1.450000	0.965578	1.791746	0.660163	0.553285	0.965578	1.791746	0.660163	0.553285
1.460000	0.960505	1.786674	0.396442	0.391086	0.960505	1.786674	0.396442	0.391086
1.470000	0.965578	1.786674	0.391371	0.360674	0.965578	1.786674	0.391371	0.360674
1.480000	0.950359	1.806960	0.371084	0.603972	0.950359	1.806960	0.371084	0.603972
1.490000	0.955432	1.801889	0.731165	0.771240	0.955432	1.801889	0.731165	0.771240
1.500000	0.960505	1.791746	0.680450	0.502598	0.960505	1.791746	0.680450	0.502598
1.510000	0.960505	1.786674	0.756523	0.309986	0.960505	1.786674	0.756523	0.309986
1.520000	0.965578	1.781603	0.558732	0.092031	0.965578	1.781603	0.558732	0.092031
1.530000	0.960505	1.771460	0.132721	-0.085374	0.960505	1.771460	0.132721	-0.085374
1.540000	0.960505	1.781603	0.142864	-0.166474	0.960505	1.781603	0.142864	-0.166474
1.550000	0.955432	1.771460	-0.176644	-0.298261	0.955432	1.771460	-0.176644	-0.298261
1.560000	0.945286	1.776532	-0.460652	-0.343879	0.945286	1.776532	-0.460652	-0.343879
1.570000	0.930066	1.781603	-0.217217	-0.257711	0.930066	1.781603	-0.217217	-0.257711
1.580000	0.935140	1.776532	-0.511367	-0.364154	0.935140	1.776532	-0.511367	-0.364154
1.590000	0.930066	1.776532	-0.582369	-0.313467	0.930066	1.776532	-0.582369	-0.313467
1.600000	0.945286	1.776532	-0.480938	-0.364154	0.945286	1.776532	-0.480938	-0.364154
1.610000	0.955432	1.766389	-0.526582	-0.516216	0.955432	1.766389	-0.526582	-0.516216
1.620000	0.945286	1.761317	-0.612799	-0.637866	0.945286	1.761317	-0.612799	-0.637866
1.630000	0.945286	1.766389	-0.551940	-0.516216	0.945286	1.766389	-0.551940	-0.516216
1.640000	0.940213	1.771460	-0.389650	-0.445254	0.940213	1.771460	-0.389650	-0.445254
1.650000	0.940213	1.786674	-0.075213	-0.156337	0.940213	1.786674	-0.075213	-0.156337
1.660000	0.935140	1.771460	-0.222288	-0.156337	0.935140	1.771460	-0.222288	-0.156337
1.670000	0.935140	1.776532	-0.196930	-0.100581	0.935140	1.776532	-0.196930	-0.100581
1.680000	0.955432	1.771460	-0.136072	-0.156337	0.955432	1.771460	-0.136072	-0.156337
1.690000	0.950359	1.776532	-0.080285	-0.024550	0.950359	1.776532	-0.080285	-0.024550
1.700000	0.940213	1.771460	-0.110714	-0.100581	0.940213	1.771460	-0.110714	-0.100581
1.710000	0.945286	1.766389	-0.070141	-0.100581	0.945286	1.766389	-0.070141	-0.100581
1.720000	0.935140	1.791746	0.000860	0.147787	0.935140	1.791746	0.000860	0.147787
