9/18/2018
2:32:13 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
34.650000	-0.267510	-0.267510
34.660000	-0.135937	-0.135937
34.670000	-0.247268	-0.247268
34.680000	-0.085332	-0.085332
34.690000	-0.196663	-0.196663
34.700000	-0.029666	-0.029666
34.710000	-0.075210	-0.075210
34.720000	0.031060	0.031060
34.730000	-0.105574	-0.105574
34.740000	0.010818	0.010818
34.750000	-0.196663	-0.196663
34.760000	-0.135937	-0.135937
34.770000	-0.302934	-0.302934
34.780000	-0.171360	-0.171360
34.790000	-0.302934	-0.302934
34.800000	-0.201723	-0.201723
34.810000	-0.292813	-0.292813
34.820000	0.329631	0.329631
34.830000	1.119071	1.119071
34.840000	0.982437	0.982437
34.850000	-0.353539	-0.353539
34.860000	-0.586323	-0.586323
34.870000	-0.525596	-0.525596
34.880000	-0.323176	-0.323176
34.890000	-0.358599	-0.358599
34.900000	-0.201723	-0.201723
34.910000	-0.292813	-0.292813
34.920000	-0.151118	-0.151118
34.930000	-0.216905	-0.216905
34.940000	-0.085332	-0.085332
34.950000	-0.171360	-0.171360
34.960000	-0.034726	-0.034726
34.970000	-0.110634	-0.110634
34.980000	0.020939	0.020939
34.990000	-0.044847	-0.044847
35.000000	0.101908	0.101908
35.010000	0.046242	0.046242
35.020000	0.192997	0.192997
35.030000	0.142392	0.142392
35.040000	0.299268	0.299268
35.050000	0.263844	0.263844
35.060000	0.435902	0.435902
35.070000	0.344812	0.344812
35.080000	0.446023	0.446023
35.090000	0.329631	0.329631
35.100000	0.375175	0.375175
35.110000	0.152513	0.152513
35.120000	0.101908	0.101908
35.130000	-0.130876	-0.130876
35.140000	-0.156179	-0.156179
35.150000	-0.302934	-0.302934
35.160000	-0.287752	-0.287752
35.170000	-0.378841	-0.378841
35.180000	-0.292813	-0.292813
35.190000	-0.383902	-0.383902
35.200000	-0.297873	-0.297873
35.210000	-0.373781	-0.373781
35.220000	-0.282692	-0.282692
35.230000	-0.353539	-0.353539
35.240000	-0.247268	-0.247268
35.250000	-0.307994	-0.307994
35.260000	-0.242208	-0.242208
35.270000	-0.323176	-0.323176
35.280000	-0.232086	-0.232086
35.290000	-0.318115	-0.318115
35.300000	-0.247268	-0.247268
35.310000	-0.333297	-0.333297
35.320000	-0.257389	-0.257389
35.330000	-0.338357	-0.338357
35.340000	-0.282692	-0.282692
35.350000	-0.328236	-0.328236
35.360000	-0.257389	-0.257389
35.370000	-0.343418	-0.343418
35.380000	-0.277631	-0.277631
35.390000	-0.323176	-0.323176
35.400000	-0.252329	-0.252329
35.410000	-0.292813	-0.292813
35.420000	-0.232086	-0.232086
35.430000	-0.302934	-0.302934
35.440000	-0.237147	-0.237147
35.450000	-0.272571	-0.272571
35.460000	-0.206784	-0.206784
35.470000	-0.287752	-0.287752
35.480000	-0.201723	-0.201723
35.490000	-0.262450	-0.262450
35.500000	-0.181481	-0.181481
35.510000	-0.216905	-0.216905
35.520000	-0.176421	-0.176421
35.530000	-0.196663	-0.196663
35.540000	-0.166300	-0.166300
35.550000	-0.201723	-0.201723
35.560000	-0.166300	-0.166300
35.570000	-0.201723	-0.201723
35.580000	-0.156179	-0.156179
35.590000	-0.201723	-0.201723
35.600000	-0.161239	-0.161239
35.610000	-0.186542	-0.186542
35.620000	-0.166300	-0.166300
35.630000	-0.206784	-0.206784
35.640000	-0.156179	-0.156179
35.650000	-0.156179	-0.156179
35.660000	-0.105574	-0.105574
35.670000	-0.065089	-0.065089
35.680000	-0.004363	-0.004363
35.690000	-0.039787	-0.039787
35.700000	0.005758	0.005758
35.710000	-0.060029	-0.060029
35.720000	-0.130876	-0.130876
35.730000	-0.211844	-0.211844
35.740000	-0.161239	-0.161239
35.750000	-0.191602	-0.191602
35.760000	-0.191602	-0.191602
35.770000	-0.221965	-0.221965
35.780000	0.036121	0.036121
35.790000	0.795198	0.795198
35.800000	1.114011	1.114011
35.810000	0.096847	0.096847
35.820000	-0.657170	-0.657170
35.830000	-0.606565	-0.606565
35.840000	-0.378841	-0.378841
35.850000	-0.297873	-0.297873
35.860000	-0.201723	-0.201723
35.870000	-0.191602	-0.191602
35.880000	-0.146058	-0.146058
35.890000	-0.140997	-0.140997
35.900000	-0.095453	-0.095453
35.910000	-0.080271	-0.080271
35.920000	-0.070150	-0.070150
35.930000	-0.039787	-0.039787
35.940000	-0.009424	-0.009424
35.950000	0.010818	0.010818
35.960000	0.066484	0.066484
35.970000	0.091787	0.091787
35.980000	0.137331	0.137331
35.990000	0.167694	0.167694
36.000000	0.253723	0.253723
36.010000	0.294207	0.294207
36.020000	0.354933	0.354933
36.030000	0.375175	0.375175
36.040000	0.395418	0.395418
36.050000	0.395418	0.395418
36.060000	0.365054	0.365054
36.070000	0.268905	0.268905
36.080000	0.142392	0.142392
36.090000	0.010818	0.010818
36.100000	-0.135937	-0.135937
36.110000	-0.211844	-0.211844
36.120000	-0.272571	-0.272571
36.130000	-0.292813	-0.292813
36.140000	-0.328236	-0.328236
36.150000	-0.313055	-0.313055
36.160000	-0.307994	-0.307994
36.170000	-0.292813	-0.292813
36.180000	-0.282692	-0.282692
36.190000	-0.257389	-0.257389
36.200000	-0.262450	-0.262450
36.210000	-0.227026	-0.227026
36.220000	-0.206784	-0.206784
36.230000	-0.201723	-0.201723
36.240000	-0.201723	-0.201723
36.250000	-0.196663	-0.196663
36.260000	-0.201723	-0.201723
36.270000	-0.196663	-0.196663
36.280000	-0.196663	-0.196663
36.290000	-0.201723	-0.201723
36.300000	-0.227026	-0.227026
36.310000	-0.201723	-0.201723
36.320000	-0.227026	-0.227026
36.330000	-0.201723	-0.201723
36.340000	-0.216905	-0.216905
36.350000	-0.211844	-0.211844
36.360000	-0.201723	-0.201723
36.370000	-0.206784	-0.206784
36.380000	-0.216905	-0.216905
36.390000	-0.191602	-0.191602
36.400000	-0.216905	-0.216905
36.410000	-0.176421	-0.176421
36.420000	-0.216905	-0.216905
36.430000	-0.196663	-0.196663
36.440000	-0.201723	-0.201723
36.450000	-0.181481	-0.181481
36.460000	-0.196663	-0.196663
36.470000	-0.171360	-0.171360
36.480000	-0.216905	-0.216905
36.490000	-0.191602	-0.191602
36.500000	-0.201723	-0.201723
36.510000	-0.181481	-0.181481
36.520000	-0.216905	-0.216905
36.530000	-0.181481	-0.181481
36.540000	-0.206784	-0.206784
36.550000	-0.156179	-0.156179
36.560000	-0.176421	-0.176421
36.570000	-0.100513	-0.100513
36.580000	-0.100513	-0.100513
36.590000	-0.014484	-0.014484
36.600000	-0.029666	-0.029666
36.610000	-0.004363	-0.004363
36.620000	-0.049908	-0.049908
36.630000	-0.049908	-0.049908
36.640000	-0.186542	-0.186542
36.650000	-0.171360	-0.171360
